vehicle_record_id,observation_id,batch_no,model_code,brand,common_name,energy_type,source,stage,record_quality,source_vehicle_type,vehicle_category,vehicle_subcategory,analysis_scope,catalog_no,source_section,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,curb_weight_num,battery_capacity_kwh,battery_capacity_num,battery_mass_kg,battery_mass_num,ev_range_km,ev_range_num,battery_type,battery_chemistry,battery_chemistry_cn,motor_power_kw,motor_count,motor_total_peak_kw,single_multi_motor,cell_supplier,pack_supplier,cell_supplier_group,pack_supplier_group,vertical_integration_flag,range_extender,seat_count,approx_energy_consumption_kwh_100km,battery_energy_density_wh_kg,km_per_kwh,battery_mass_ratio_pct,variant_count,vehicle_tax_match_flag,purchase_tax_match_flag,metric_scope,source_detail,source_tax
401:HQ6431,401:HQ6431:confirmed,401,HQ6431,精灵(smart),精灵#1,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,52,一、汽车生产企业,,,,,1790,1790.0,49,49.0,409.5,409.5,410,410.0,,,,,,,,,,,,,,,12.0,119.7,8.37,22.9,1,0,1,全数据,,纯电动汽车
401:HQ6472,401:HQ6472:confirmed,401,HQ6472,吉利,银河星舰7,插电式混合动力,eidc,confirmed,high,插电式混合动力运动型乘用车,passenger_vehicle,suv_mpv,in_scope,52,一、汽车生产企业,,,,,1738,1738.0,19.09,19.09,178,178.0,101/105,101.0,,,,,,,,,,,,,,,18.9,107.2,5.29,10.2,1,1,1,全数据,,插电式混合动力乘用车
401:HRD5060X,401:HRD5060X:confirmed,401,HRD5060X,恒诚睿德,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)258,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:HTL5041X,401:HTL5041X:confirmed,401,HTL5041X,聊工,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十五)225,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:JBG5061X,401:JBG5061X:confirmed,401,JBG5061X,新星房车,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十)146,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:JHC6547,401:JHC6547:confirmed,401,JHC6547,远程,远程V8E,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,25,一、汽车生产企业,,,,,1990/2000/2035,1990.0,66.67332,66.67332,479,479.0,455,455.0,,,,,,,,,,,,,,,14.7,139.2,6.82,24.1,1,0,1,全数据,,纯电动汽车
401:JKC6450,401:JKC6450:confirmed,401,JKC6450,鑫源,好运,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,146,一、汽车生产企业,,,,,1425,1425.0,42.336,42.336,318±10,318.0,340（CLTC）,340.0,,,,,,,,,,,,,,,12.5,133.1,8.03,22.3,1,0,1,全数据,,纯电动汽车
401:JKC6460,401:JKC6460:confirmed,401,JKC6460,鑫源,E3,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,146,一、汽车生产企业,,,,,1625,1625.0,42.336,42.336,318±10,318.0,328（CLTC）,328.0,,,,,,,,,,,,,,,12.9,133.1,7.75,19.6,1,0,1,全数据,,纯电动汽车
401:JKC6472,401:JKC6472:confirmed,401,JKC6472,鑫源,116,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,146,一、汽车生产企业,,,,,1670/1740,1670.0,53.58,53.58,385,385.0,435（CLTC）,435.0,,,,,,,,,,,,,,,12.3,139.2,8.12,23.1,1,0,1,全数据,,纯电动汽车
401:JKC6490,401:JKC6490:confirmed,401,JKC6490,鑫源,E3L,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,146,一、汽车生产企业,,,,,1725,1725.0,53.58,53.58,385,385.0,415（CLTC）,415.0,,,,,,,,,,,,,,,12.9,139.2,7.75,22.3,1,0,1,全数据,,纯电动汽车
401:JMT5034X,401:JMT5034X:confirmed,401,JMT5034X,江铃江特,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十四)20,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:JX1037,401:JX1037:confirmed,401,JX1037,江铃,,,eidc,confirmed,high,多用途货车,passenger_vehicle,suv_mpv,in_scope,61,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
