body_type,fuel_type_group,price_bucket,freeze,top3_price,top3_price_position,position_delta
SUV,新能源,45-50万,2025-03,488902.38295192254,97771.47659038451,5639.019819925932
SUV,新能源,5-10万,2025-03,90211.04216439229,18041.20843287846,1805.7628787235717
SUV,新能源,50-55万,2025-03,512546.86553498125,102499.37310699625,-3501.2520066353754
SUV,新能源,55-60万,2025-03,583113.4971489513,116611.69942979026,2916.005002315782
SUV,新能源,5万以下,2025-03,38908.137172638126,7781.627434527625,-1320.9146481907228
SUV,新能源,60万以上,2025-03,933814.3258721246,93375.43258721246,1223.4181935369415
跑车,其他能源,25-30万,2025-03,286853.7175649805,57365.7435129961,648.5218541768409
跑车,其他能源,40-45万,2025-03,434479.4574806998,86887.89149613996,-1027.5136638600961
跑车,其他能源,45-50万,2025-03,465194.39366249996,93029.87873249999,-490.5237116969365
跑车,其他能源,50-55万,2025-03,521967.56254815357,104383.51250963072,-2797.572675925345
跑车,其他能源,55-60万,2025-03,594274.7719910113,118843.95439820227,7263.299289473784
跑车,其他能源,60万以上,2025-03,1106081.423597192,110602.14235971919,-4638.557810350743
跑车,新能源,15-20万,2025-03,178329.74519339623,35662.949038679246,-2378.8836385319155
跑车,新能源,30-35万,2025-03,341304.92047072726,68254.98409414545,258.8326015062048
跑车,新能源,60万以上,2025-03,1597712.3776105547,159765.23776105547,23817.305761055497
轿车,其他能源,10-15万,2025-03,119372.90850807897,23872.581701615793,30.330540425646177
轿车,其他能源,15-20万,2025-03,168675.9896702534,33732.19793405068,-2137.616290643782
轿车,其他能源,20-25万,2025-03,233366.6593395639,46669.33186791278,424.1151013396011
轿车,其他能源,25-30万,2025-03,264028.5772321206,52800.715446424125,-3591.6557557862834
轿车,其他能源,30-35万,2025-03,340454.8162237365,68084.9632447473,6151.129954231794
轿车,其他能源,35-40万,2025-03,372527.4205435706,74498.48410871412,75.84992698677524
轿车,其他能源,40-45万,2025-03,436869.9817307842,87365.99634615684,1660.9582474740746
轿车,其他能源,45-50万,2025-03,468699.5730086208,93730.91460172416,-1949.4787183131266
轿车,其他能源,5-10万,2025-03,78417.74163885434,15682.548327770866,688.3121312783496
轿车,其他能源,50-55万,2025-03,526852.376323906,105360.4752647812,1342.009574337324
轿车,其他能源,55-60万,2025-03,556413.2339975848,111271.64679951695,-4278.460273018485
轿车,其他能源,60万以上,2025-03,1086758.7167270142,108669.87167270141,-2750.465445550042
轿车,新能源,10-15万,2025-03,112985.39352214108,22595.078704428215,-1738.7850953313755
轿车,新能源,15-20万,2025-03,180647.36814793263,36126.47362958653,1722.9245828889834
轿车,新能源,20-25万,2025-03,235459.67630439828,47087.935260879654,2297.9172078601696
轿车,新能源,25-30万,2025-03,272204.0897189044,54435.81794378088,-386.24640448673017
轿车,新能源,30-35万,2025-03,325490.55858795514,65092.111717591026,1949.505851228525
轿车,新能源,35-40万,2025-03,367612.0516294556,73515.41032589112,-1900.6807390397735
轿车,新能源,40-45万,2025-03,431500.58052519447,86292.11610503889,-142.7244570354669
轿车,新能源,5-10万,2025-03,74429.49628712803,14884.899257425606,-950.7557477566115
轿车,新能源,50-55万,2025-03,533751.2198292682,106740.24396585363,-3073.286034146324
轿车,新能源,55-60万,2025-03,565618.8405797102,113112.76811594205,-6160.344166743453
轿车,新能源,5万以下,2025-03,41249.54450072989,8249.908900145978,-604.4906820948654
轿车,新能源,60万以上,2025-03,1033549.8553283085,103348.98553283085,10613.171954642268
