price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
5-10万,MPV,其他能源,174617.0,五菱五菱宏光（50.5%）、五菱佳辰（25.0%）、东风风行菱智（8.9%）,五菱五菱宏光,147340.0,84.37895508455648,五菱五菱宏光（50.5%）、五菱佳辰（25.0%）、东风风行菱智（8.9%）,84.37895508455648,3,100.0
5-10万,MPV,新能源,117.0,东风风光风光（100.0%）,东风风光风光,117.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
5-10万,SUV,其他能源,1048526.0,哈弗哈弗H6（11.7%）、吉利缤越（8.1%）、长安CS55（6.7%）,哈弗哈弗H6,277965.0,26.510072234737148,哈弗哈弗H6（11.7%）、吉利缤越（8.1%）、长安CS55（6.7%）,26.510072234737148,3,100.0
5-10万,SUV,新能源,94158.0,吉利几何E（35.0%）、宝骏悦也（18.7%）、哪吒哪吒AYA（15.3%）,吉利几何E,65043.0,69.07857006308545,吉利几何E（35.0%）、宝骏悦也（18.7%）、哪吒哪吒V（12.3%）,66.06873552964167,3,100.0
5-10万,轿车,其他能源,1709804.0,日产轩逸（14.6%）、长安逸动（9.4%）、吉利新帝豪（8.3%）,日产轩逸,552099.0,32.29019232613797,日产轩逸（14.6%）、长安逸动（9.4%）、吉利新帝豪（8.3%）,32.29019232613797,3,100.0
5-10万,轿车,新能源,765226.0,比亚迪海鸥（37.5%）、五菱五菱缤果（25.7%）、比亚迪秦（9.6%）,比亚迪海鸥,557180.0,72.81247631418692,比亚迪海鸥（37.5%）、五菱五菱缤果（25.7%）、零跑零跑T03（5.2%）,68.42906540028697,3,100.0
50-55万,MPV,其他能源,23963.0,别克世纪（68.2%）、奔驰V级（31.8%）,别克世纪,23963.0,100.0,别克世纪（68.2%）,68.16759170387681,1,100.0
50-55万,MPV,新能源,17313.0,极氪极氪009（100.0%）,极氪极氪009,17313.0,100.0,极氪极氪009（100.0%）,100.0,1,100.0
50-55万,SUV,其他能源,33379.0,沃尔沃XC90（50.8%）、保时捷Macan（29.0%）、JEEP牧马人（8.2%）,沃尔沃XC90,29355.0,87.9445160130621,沃尔沃XC90（50.8%）、奥迪SQ5（1.7%）,52.45214056742263,2,100.0
50-55万,SUV,新能源,25635.0,蔚来蔚来ES8（48.8%）、AITO问界M9（28.8%）、雷克萨斯RX（13.8%）,蔚来蔚来ES8,23425.0,91.37897405890384,雷克萨斯RX（13.8%）,13.79364150575385,1,100.0
50-55万,跑车,其他能源,1833.0,保时捷718（98.6%）、丰田SUPRA（1.4%）,保时捷718,1833.0,100.0,保时捷718（98.6%）,98.63611565739225,1,100.0
50-55万,轿车,其他能源,13682.0,宝马6系（53.5%）、奔驰E级（28.6%）、奥迪A7（15.6%）,宝马6系,13362.0,97.66116064902792,宝马6系（53.5%）,53.522876772401695,1,100.0
50-55万,轿车,新能源,79.0,高合HiPhi Z（100.0%）,高合HiPhi Z,79.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
55-60万,MPV,其他能源,1379.0,别克世纪（100.0%）,别克世纪,1379.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
55-60万,MPV,新能源,3544.0,理想理想MEGA（100.0%）,理想理想MEGA,3544.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
